,city_name,country_code,Latitude,Longitude,Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),rand_lat,rand_lng
0,dikson,ru,73.51,80.55,-12.53,100,0,7.63,84.05000000008903,77.29999999976599
1,kavieng,pg,-2.57,150.8,80.53,100,68,9.64,13.52000000005296,153.6899999996965
2,tasiilaq,gl,65.61,-37.64,26.6,58,20,2.24,68.13000000008088,-43.76000000012391
3,barrow,us,39.51,-90.4,32.09,85,90,11.41,78.21000000008604,-165.55000000001314
4,mount gambier,au,-37.83,140.78,56.55,80,92,3.6,-56.80999999998302,128.35999999971955
5,saskylakh,ru,71.97,114.09,-30.53,51,68,3.6,73.56000000008368,120.90999999972632
6,kieta,pg,-6.22,155.63,80.35,100,92,3.04,1.0500000000465803,159.72999999969102
7,beringovskiy,ru,63.05,179.32,-16.4,100,8,16.46,59.24000000007635,176.86999999967543
8,nikolskoye,ru,59.7,30.79,12.2,85,90,11.18,49.63000000007145,173.1599999996788
9,webuye,ke,0.62,34.77,55.69,98,0,2.59,0.680000000046391,34.97999999980448
10,kaitangata,nz,-46.28,169.85,49.93,100,100,5.95,-59.73999999998452,178.41999999967402
11,the valley,ai,18.22,-63.06,81.54,61,20,11.41,23.610000000058122,-62.600000000106775
12,lebu,cl,-37.62,-73.65,58.75,93,0,19.48,-37.97999999997339,-84.5600000000868
13,kununurra,au,-15.77,128.74,77,94,75,4.7,-15.339999999961805,129.45999999971855
14,puerto ayora,ec,-0.74,-90.35,86,55,75,13.87,-19.439999999963902,-104.81000000006838
15,cape town,za,-33.93,18.42,68,82,0,16.11,-74.81999999999223,-11.930000000152859
16,hermanus,za,-34.42,19.24,62.44,92,24,2.26,-66.90999999998819,2.8799999998336716
17,upernavik,gl,72.79,-56.15,-0.43,100,32,11.43,77.57000000008571,-51.62000000011676
18,east london,za,-33.02,27.91,74.68,97,92,28.99,-83.33999999999659,59.88999999978182
19,new ulm,us,44.31,-94.46,22.64,83,90,4.61,44.25000000006867,-94.73000000007755
20,fairbanks,us,64.84,-147.72,-25.21,75,40,1.36,68.310000000081,-146.7900000000302
21,adrar,dz,27.87,-0.29,60.8,29,0,12.75,24.84000000005875,2.3399999998341627
22,flinders,au,-34.58,150.85,59,77,75,12.75,-29.829999999969218,134.9099999997136
23,rikitea,pf,-23.12,-134.97,77.11,100,68,14.23,-36.33999999997255,-106.37000000006697
24,belaya gora,ru,68.54,146.19,-42.32,0,0,4.61,69.85000000008176,146.7699999997028
25,shubarshi,kz,48.59,57.19,-7.81,63,8,4.72,47.82000000007051,56.68999999978473
26,kapaa,us,22.08,-159.32,78.08,62,40,11.41,10.270000000051297,-174.09000000000538
27,bluff,nz,-46.6,168.33,51.91,100,68,12.66,-89.09999999999954,157.17999999969334
28,bambous virieux,mu,-20.34,57.76,77,94,75,13.87,-33.71999999997121,75.66999999976747
29,yatou,cn,33.81,104.32,16.9,94,12,1.81,36.39000000006466,122.77999999972462
30,busselton,au,-33.64,115.35,67.12,99,36,4.61,-49.899999999979485,90.76999999975374
31,castro,cl,-42.48,-73.76,66.2,59,0,6.93,-48.649999999978846,-89.83000000008201
32,hilo,us,19.71,-155.08,78.08,68,1,3.36,15.310000000053876,-155.68000000002212
33,mangrol,in,25.33,76.51,43.9,78,0,2.82,18.050000000055277,66.85999999977548
34,wad rawah,sd,15.16,33.13,71.58,49,0,12.44,16.340000000054403,33.67999999980566
35,avarua,ck,-21.21,-159.78,82.4,78,75,10.29,-32.739999999970706,-165.2600000000134
36,bethel,us,60.79,-161.76,-14.3,77,1,11.41,51.890000000072575,-167.5900000000113
37,san juan,us,26.19,-98.16,71.74,12,1,4.7,21.73000000005716,-66.23000000010347
38,jamestown,sh,-15.94,-5.72,70.63,100,64,11.21,-23.019999999965734,1.7099999998347357
39,georgetown,sh,-7.93,-14.42,77.29,100,0,15.79,-7.499999999957794,-14.250000000150749
40,sayat,tm,38.78,63.88,35.6,91,90,4.7,37.710000000065335,63.71999999977834
41,neosho,us,43.31,-88.52,29.57,77,90,13.87,36.76000000006485,-94.52000000007774
42,otjiwarongo,na,-20.46,16.65,70.09,68,48,7.96,-20.849999999964623,16.949999999820875
43,rabak,sd,13.18,32.74,73.06,40,0,13,13.09000000005274,33.199999999806096
44,necochea,ar,-38.55,-58.74,65.23,99,48,7.96,-48.04999999997854,-54.650000000114005
45,ushuaia,ar,-54.81,-68.31,56.8,71,40,31.09,-88.06999999999901,-72.01000000009822
46,ulaangom,mn,49.98,92.07,-31.7,44,0,2.71,47.10000000007014,91.66999999975292
47,carnarvon,au,-24.87,113.63,73.4,88,0,4.7,-31.139999999969888,87.07999999975709
48,ixtapa,mx,20.71,-105.21,78.8,57,5,9.17,7.470000000049865,-107.26000000006616
49,tiksi,ru,71.64,128.87,-31.3,53,0,5.73,87.79000000009097,132.09999999971615
50,hofn,is,64.25,-15.21,37.38,100,0,13.22,64.44000000007901,-15.410000000149694
51,arraial do cabo,br,-22.97,-42.02,86,70,40,3.36,-40.62999999997474,-20.430000000145128
52,te anau,nz,-45.41,167.72,47.95,92,100,3.71,-43.37999999997615,167.13999999968428
53,vao,nc,-22.67,167.48,77.7,97,76,10.87,-25.58999999996705,167.73999999968373
54,cam ranh,vn,11.92,109.15,77,83,40,4.7,11.260000000051804,110.90999999973542
55,torbay,ca,47.66,-52.73,30.2,80,40,5.82,33.20000000006303,-48.450000000119644
56,vaini,to,-21.2,-175.2,80.6,88,75,5.82,-26.21999999996737,-173.82000000000562
57,punta arenas,cl,-53.16,-70.91,54.55,71,92,19.46,-67.1199999999883,-112.77000000006115
58,new norfolk,au,-42.78,147.06,53.6,81,75,6.93,-73.67999999999165,125.7699999997219
59,santa maria,cv,16.6,-22.9,73.4,64,0,12.75,21.44000000005701,-22.690000000143073
60,ust-koksa,ru,50.27,85.62,-13.07,68,48,1.92,49.280000000071254,86.13999999975795
61,paita,pe,-5.09,-81.11,62.6,290,0,11.41,-7.029999999957553,-86.12000000008538
62,iqaluit,ca,63.75,-68.52,3.2,77,90,18.34,65.23000000007943,-70.30000000009977
63,lorengau,pg,-2.02,147.27,78.15,100,92,10.65,1.9500000000470408,147.69999999970196
64,albany,au,-35.02,117.88,57.2,93,0,8.05,-66.1399999999878,107.98999999973807
